IPC_Section,IPC_Heading,BNS_Section,BNS_Heading
315,Act done with intent to prevent child being born alive or to cause it to die after birth,91,Act done with intent to prevent child being born alive or to cause it to die after birth
316,Causing death of quick unborn,92,Causing death of quick unborn
317,"Exposure and abandonment of child under twelve years, by parent or person having care of it",93,"Exposure and abandonment of child under twelve years, by parent or person having care of it"
318,"Exposure and abandonment of child under twelve years, by parent or person having care of it",94,"Exposure and abandonment of child under twelve years, by parent or person having care of it"
319,Hurt,114,Hurt
320,Grievous hurt,116,Grievous hurt
321,Voluntarily causing hurt,115(1),Voluntarily causing hurt
322,Voluntarily causing grievous hurt,117(1),Voluntarily causing grievous hurt
323,Punishment for voluntarily causing hurt,115(2),Voluntarily causing hurt
324,Voluntarily causing hurt by dangerous weapons or means,118(1),Voluntarily causing hurt or grievous hurt by dangerous weapons or means
325,Punishment for voluntarily causing grievous hurt,117(2),Voluntarily causing grievous hurt
326,Voluntarily causing grievous hurt by dangerous weapons or means,118,Voluntarily causing hurt by dangerous weapons or means
326A,"Voluntarily causing grievous hurt by use of acid, etc.",124(1),"Voluntarily causing grievous hurt by use of acid, etc."
326B,Voluntarily throwing or attempting to throw acid,124(2),"Voluntarily causing grievous hurt by use of acid, etc."
327,"Voluntarily causing hurt to extort property, or to constrain to an illegal act",119,"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act"
328,"Causing hurt by means of poison, etc., with intent to commit an offence",123,"Causing hurt by means of poison, etc., with intent to commit an offence"
329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act",119,"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act"
330,"Voluntarily causing hurt to extort confession, or to compel restoration of property",120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property"
331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property",120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property"
332,Voluntarily causing hurt to deter public servant from his duty,121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty
333,Voluntarily causing grievous hurt to deter public servant from his duty,121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty
334,Voluntarily causing hurt on provocation,122,Voluntarily causing hurt on provocation
335,Voluntarily causing grievous hurt on provocation,122,Voluntarily causing grievous hurt on provocation
336,Act endangering life or personal safety of others,125,Act endangering life or personal safety of others
337,Causing hurt by act endangering life or personal safety of others,125,Act endangering life or personal safety of others
338,Causing grievous hurt by act endangering life or personal safety of others,125,Act endangering life or personal safety of others
339,Wrongful restraint,126,Wrongful restraint
340,Wrongful confinement,127,Wrongful confinement
341,Punishment for wrongful restraint,127,Wrongful confinement
342,Punishment for wrongful confinement,127,Wrongful confinement
343,Wrongful confinement for three or more days,127,Wrongful confinement
344,Wrongful confinement for ten or more days,127,Wrongful confinement
345,Wrongful confinement of person for whose liberation writ has been issued,127,Wrongful confinement
346,Wrongful confinement in secret,127,Wrongful confinement
347,"Wrongful confinement to extort property, or constrain to illegal act",127,Wrongful confinement
348,"Wrongful confinement to extort confession, or compel restoration of property",127,Wrongful confinement
349,Force,128,Force
350,Criminal force,129,Criminal force
351,Assault,130,Assault
352,Punishment for assault or criminal force otherwise than on grave provocation,131,Punishment for assault or criminal force otherwise than on grave provocation
353,Assault or criminal force to deter public servant from discharge of his duty,132,Assault or criminal force to deter public servant from discharge of his duty
354,Assault or criminal force to woman with intent to outrage her modesty,74,Assault or use of criminal force to woman with intent to outrage her modesty
354A,Sexual harassment and punishment for sexual harassment,75,Sexual harassment
354B,Assault or use of criminal force to woman with intent to disrobe,76,Assault or use of criminal force to woman with intent to disrobe
354C,Voyeurism,77,Voyeurism
354D,Stalking,78,Stalking
355,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation",133,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation"
356,Assault or criminal force in attempt to commit theft of property carried by a person,134,Assault or criminal force in attempt to commit theft of property carried by a person
357,Assault or criminal force in attempt wrongfully to confine a person,135,Assault or criminal force in attempt wrongfully to confine a person
358,Assault or criminal force on grave provocation,136,Assault or criminal force on grave provocation
359,Kidnapping,137,Kidnapping
360,Kidnapping from India,137,Kidnapping
361,Kidnapping from lawful guardianship,137,Kidnapping
362,Abduction,138,Abduction
363,Punishment for kidnapping,137(2),Punishment for kidnapping
363A,Kidnapping or maiming a minor for purposes of begging,139,Kidnapping or maiming a child for purposes of begging
364,Kidnapping or abducting in order to murder,140,"Kidnapping or abducting in order to murder or for ransom, etc."
364A,"Kidnapping for ransom, etc.",140,"Kidnapping or abducting in order to murder or for ransom, etc."
365,Kidnapping or abducting with intent secretly and wrongfully to confine person,140(3),"Kidnapping or abducting in order to murder or for ransom, etc."
366,"Kidnapping, abducting or inducing woman to compel her marriage, etc.",87,"Kidnapping, abducting or inducing woman to compel her marriage, etc."
366A,Procurement of minor girl,96,Procurement of child
366B,Importation of girl from foreign country,141,Importation of girl or boy from foreign country
367,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc.",140,"Kidnapping or abducting in order to murder or for ransom, etc."
368,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person",140(2),"Wrongfully concealing or keeping in confinement, kidnapped or abducted person"
369,Kidnapping or abducting child under ten years with intent to steal from its person,97,Kidnapping or abducting child under ten years with intent to steal from its person
370,Trafficking of person,143,Trafficking of person
370A,Exploitation of a trafficked person,144,Exploitation of a trafficked person
371,Habitual dealing in slaves,145,Habitual dealing in slaves
372,"Selling minor for purposes of prostitution, etc.",98,"Selling child for purposes of prostitution, etc."
373,"Buying minor for purposes of prostitution, etc.",99,"Buying child for purposes of prostitution, etc."
374,Unlawful compulsory labour,146,Unlawful compulsory labour
375,Rape,63,Rape
376,Punishment for rape,64,Punishment for rape
376A,Punishment for causing death or resulting in persistent vegetative state of victim,66,Punishment for causing death or resulting in persistent vegetative state of victim
376AB,Punishment for rape on woman under twelve years of age,65(2),Punishment for rape in certain cases
376B,Sexual intercourse by husband upon his wife during separation,67,Sexual intercourse by husband upon his wife during separation
376C,Sexual intercourse by a person in authority,68,Sexual intercourse by a person in authority
376D,Gang rape,70,Gang rape
376DA,Punishment for gang rape on woman under sixteen years of age,70,Gang rape
376DB,Punishment for gang rape on woman under twelve years of age2,70,Gang rape
376E,Punishment for repeat offenders,71,Punishment for repeat offenders
377,Unnatural offences,Repealed in BNS,Repealed in BNS
378,Theft,303(1),Theft
379,Punishment for theft,303,Theft
379A,Snatching,304,Snatching
379B,Punishment for Snatching,304,Snatching
380,"Theft in dwelling house, etc.",305,"Theft in a dwelling house, or means of transportation or place of worship, etc."
381,Theft by clerk or servant of property in possession of master,306,Theft by clerk or servant of property in possession of master
382,"Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft",307,"Theft after preparation made for causing death, hurt or restraint in order to the committing of theft"
383,Extortion,308,Extortion
384,Punishment for extortion,308(2),Extortion
385,Putting person in fear of injury in order to commit extortion,308(3),Extortion
386,Extortion by putting a person in fear of death or grievous hurt,308(4),Extortion
387,"Putting person in fear of death or of grievous hurt, in order to commit extortion",308(5),Extortion
388,"Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc.",308(6),Extortion
389,"Putting person in fear of accusation of offence, in order to commit extortion",308(7),Extortion
390,Robbery,309,Robbery
391,Dacoity,310,Dacoity
392,Punishment for robbery,309,Robbery
393,Attempt to commit robbery,309,Robbery
394,Voluntarily causing hurt in committing robbery,309,Robbery
395,Punishment for dacoity,310,Dacoity
396,Dacoity with murder,310(3),Dacoity
397,"Robbery, or dacoity, with attempt to cause death or grievous hurt",311,"Robbery, or dacoity, with attempt to cause death or grievous hurt"
398,Attempt to commit robbery or dacoity when armed with deadly weapon,312,Attempt to commit robbery or dacoity when armed with deadly weapon
399,Making preparation to commit dacoity,310(4),Dacoity
400,Punishment for belonging to gang of dacoits,313,"Punishment for belonging to gang of robbers, etc."
401,Punishment for belonging to gang of thieves,313,"Punishment for belonging to gang of robbers, etc."
402,Assembling for purpose of committing dacoity,310(5),Dacoity
403,Dishonest misappropriation of property,316,Criminal breach of trust
404,Dishonest misappropriation of property possessed by deceased person at the time of his death,315,Dishonest misappropriation of property possessed by deceased person at the time of his death
405,Criminal breach of trust,316,Criminal breach of trust
406,Punishment for criminal breach of trust,316(2),Criminal breach of trust
407,"Criminal breach of trust by carrier, etc.",316(3),Criminal breach of trust
408,Criminal breach of trust by clerk or servant,316(4),Criminal breach of trust
409,"Criminal breach of trust by public servant, or by banker, merchant or agent",316(5),Criminal breach of trust
410,Stolen property,317(1),Stolen property
411,Dishonestly receiving stolen property,317(2),Stolen property
412,Dishonestly receiving property stolen in the commission of a dacoity,317(3),Stolen property
413,Habitually dealing in stolen property,317(4),Stolen property
414,Assisting in concealment of stolen property,317(5),Stolen property
415,Cheating,318,Cheating
416,Cheating by personation,319,Cheating by personation
417,Punishment for cheating,318(2),Cheating
418,Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect,318(3),Cheating
419,Punishment for cheating by personation,319(2),Cheating by personation
420,Cheating and dishonestly inducing delivery of property,318(4),Cheating
421,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors,320,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors
422,Dishonestly or fraudulently preventing debt being available for creditors,321,Dishonestly or fraudulently preventing debt being available for creditors
423,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration,322,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration
424,Dishonest or fraudulent removal or concealment of property,323,Dishonest or fraudulent removal or concealment of property
425,Mischief,324,Mischief
426,Punishment for mischief,324,Mischief
427,Mischief causing damage to the amount of fifty rupees,324,Mischief
428,Mischief by killing or maiming animal of the value of ten rupees,325,Mischief by killing or maiming animal
429,"Mischief by killing or maiming cattle, etc., of any value or any animal of the value of fifty rupees",325,Mischief by killing or maiming animal
430,Mischief by injury to works of irrigation or by wrongfully diverting water,326(a),"Mischief by injury, inundation, or explosive substance, etc."
431,"Mischief by injury to public road, bridge, river or channel",326(b),"Mischief by injury, inundation, or explosive substance, etc."
432,Mischief by causing inundation or obstruction to public drainage attended with damage,326(c),"Mischief by injury, inundation, or explosive substance, etc."
433,"Mischief by destroying, moving or rendering less useful a lighthouse or seamark",326(d),"Mischief by injury, inundation, or explosive substance, etc."
434,"Mischief by destroying or moving, etc., a landmark fixed by public authority",326(e),"Mischief by injury, inundation, or explosive substance, etc."
435,Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees,326(f),"Mischief by injury, inundation, or explosive substance, etc."
436,"Mischief by fire or explosive substance with intent to destroy house, etc.",326(g),"Mischief by injury, inundation, or explosive substance, etc."
437,Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden,327(1),"Mischief with intent to destroy or make unsafe a rail, aircraft, decked vessel or one of twenty tons burden"
438,Punishment for the mischief described in section 437 committed by fire or explosive substance,327(2),"Mischief with intent to destroy or make unsafe a rail, aircraft, decked vessel or one of twenty tons burden"
439,"Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc.",328,"Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc."
440,Mischief committed after preparation made for causing death or hurt,324(6),Mischief
441,Criminal trespass,329,Criminal trespass and housetrespass
442,Housetrespass,330,Housetrespass and housebreaking
443,Lurking housetrespass,331,Punishment for housetrespass or housebreaking
444,Lurking housetrespass by night,331,Punishment for housetrespass or housebreaking
445,Housebreaking,330,Housetrespass and housebreaking
446,Housebreaking by night,331,Punishment for housetrespass or housebreaking
447,Punishment for criminal trespass,329(3),Criminal trespass and housetrespass
448,Punishment for housetrespass,331,Punishment for housetrespass or housebreaking
449,Housetrespass in order to commit offence punishable with death,332(a),Housetrespass in order to commit offence
450,Housetrespass in order to commit offence punishable with imprisonment for life,332(b),Housetrespass in order to commit offence
451,Housetrespass in order to commit offence punishable with imprisonment,332(c),Housetrespass in order to commit offence
452,"Housetrespass after preparation for hurt, assault or wrongful restraint",333,"Housetrespass after preparation for hurt, assault or wrongful restraint"
453,Punishment for lurking housetrespass or housebreaking,331,Punishment for housetrespass or housebreaking
454,Lurking housetrespass or housebreaking in order to commit offence punishable with imprisonment,331(3),Punishment for housetrespass or housebreaking
455,Lurking housetrespass or housebreaking in order to commit offence punishable with imprisonment for life,331(3),Punishment for housetrespass or housebreaking
456,Punishment for lurking housetrespass or housebreaking by night,"331(2, 4)",Punishment for housetrespass or housebreaking
457,Lurking housetrespass or housebreaking by night in order to commit offence punishable with imprisonment,"331(2, 4)",Punishment for housetrespass or housebreaking
458,"Lurking housetrespass or housebreaking by night after preparation for hurt, assault, or wrongful restraint",331,Punishment for housetrespass or housebreaking
459,Grievous hurt caused whilst committing lurking housetrespass or housebreaking,332,Housetrespass or housebreaking
460,All persons jointly concerned in lurking housetrespass or housebreaking by night punishable where death or grievous hurt caused by one of them,331(8),Punishment for housetrespass or housebreaking
461,Dishonestly breaking open receptacle containing property,334,Dishonestly breaking open receptacle containing property
462,Punishment for same offence when committed by person entrusted with custody,334,Dishonestly breaking open receptacle containing property
463,Forgery,336(1),Forgery
464,Making a false document,335,Making a false document
465,Punishment for forgery,336(1),Forgery
466,"Forgery of record of Court or of public register, etc.",337,"orgery of record of Court or of public register, etc"
467,"Forgery of valuable security, will, etc.",338,"Forgery of valuable security, will, etc."
468,Forgery for purpose of cheating,336(2),Forgery
469,Forgery for purpose of harming reputation,336(3),Forgery
470,Forged document,340,Forged document or electronic record and using it as genuine.
471,Using as genuine a forged document,340,Forged document or electronic record and using it as genuine.
472,"Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 467",341,"341. Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 338 - Bharatiya Nyaya Sanhita, 2023"
473,"Counterfeit seal, etc., with intent to commit forgery punishable otherwise",341(2),"Seal, etc., with intent to commit forgery punishable under section 338"
474,"Having possession of document described in section 466 or 467, knowing it to be forged and intending to use it as genuine",339,"Having possession of document described in section 337 or section 338, knowing it to be forged and intending to use it as genuine"
475,"Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material",342(1),"Counterfeiting device or mark used for authenticating documents described in section 338, or possessing counterfeit marked material"
476,"Counterfeiting device or mark used for authenticating documents described in section 467, or possessing counterfeit marked material",342(2),"Counterfeiting device or mark used for authenticating documents described in section 338, or possessing counterfeit marked material"
477,"Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security",343,"Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security"
477A,Falsification of accounts,344,Falsification of accounts
478,Repeal,Repealed in BNS,Repealed in BNS
479,Property mark,345(1),Property mark
480,Repeal,Repealed in BNS,Repealed in BNS
481,Using a false property mark,345(2),Property mark
482,Punishment for using a false property mark,345(2),Property mark
483,Counterfeiting a property mark used by a public servant,347(1),Counterfeiting a property mark used by a public servant
484,Counterfeiting a mark used by a public servant,347(2),Counterfeiting a property mark
485,Making or possession of any instrument for counterfeiting a property mark,348,Making or possession of any instrument for counterfeiting a property mark
486,Selling goods marked with a counterfeit property mark,349,Selling goods marked with a counterfeit property mark
487,Making a false mark upon any receptacle containing goods,350,Making a false mark upon any receptacle containing goods
488,Punishment for making use of any such false mark,351,Punishment for making use of any such false mark
489,Tampering with property mark with intent to cause injury,352,Tampering with property mark with intent to cause injury
489A,Counterfeiting currencynotes or banknotes,178,"Counterfeiting coin, Government stamps, currencynotes or banknotes"
489B,"Using as genuine, forged or counterfeit currencynotes or banknotes",179,"Using as genuine, forged or counterfeit coin, Government stamp, currencynotes or banknotes"
489C,Possession of forged or counterfeit currencynotes or banknotes,180,"Possession of forged or counterfeit coin, Government stamp, currencynotes or banknotes"
489D,Making or possessing instruments or materials for forging or counterfeiting currencynotes or banknotes,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currencynotes or banknotes"
489E,Making or using documents resembling currencynotes or banknotes,182,Making or using documents resembling currencynotes or banknotes
490,Repealed,Repealed in BNS,Repealed in BNS
491,Breach of contract to attend on and supply wants of helpless person,357,Breach of contract to attend on and supply wants of helpless person
492,Repealed,Repealed in BNS,Repealed in BNS
493,Cohabitation caused by a man deceitfully inducing a belief of lawful marriage,81,Cohabitation caused by man deceitfully inducing belief of lawful marriage
494,Marrying again during lifetime of husband or wife,82(1),Marrying again during lifetime of husband or wife
495,Same offence with concealment of former marriage from person with whom subsequent marriage is contracted,82(2),Marrying again during lifetime of husband or wife
496,Marriage ceremony fraudulently gone through without lawful marriage,83,Marriage ceremony fraudulently gone through without lawful marriage
497,Adultery,Repealed in BNS,Repealed in BNS
498,Enticing or taking away or detaining with criminal intent a married woman,84,Enticing or taking away or detaining with criminal intent a married woman
498A,Husband or relative of husband of a woman subjecting her to cruelty,85,Husband or relative of husband of a woman subjecting her to cruelty
499,Defamation,356(1),Defamation
500,Punishment for defamation,356(2),Defamation
501,Printing or engraving matter known to be defamatory,356(2),Defamation
502,Sale of printed or engraved substance containing defamatory matter,356(2),Defamation
503,Criminal intimidation,351(1),Criminal intimidation
504,Intentional insult with intent to provoke breach of the peace,352,Intentional insult with intent to provoke breach of peace
505,Statements conducing to public mischief,353,Statements conducing to public mischief
506,Punishment for criminal intimidation,351(2) & (3),Criminal intimidation
507,Criminal intimidation by an anonymous communication,351(4),Criminal intimidation
508,Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure,354,Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure
509,"Word, gesture or act intended to insult the modesty of a woman",79,"Word, gesture or act intended to insult the modesty of a woman"
510,Misconduct in public by a drunken person,355,Misconduct in public by a drunken person
511,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment,62,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment
